,CL7R,CT2BIN,CL2R,CL5R,CL1R,DEMOC,MOD,CON,WWWWHITE,FEMALE,COLGRD,SOMCOL,W12WHITE,CL9R,REPUB,INDEP,COMHS,AGE65PLM,CL8R,W2TOTCL,BABS,CD4A_A,PTYID3,CD4A_B,AGE4049M,W12EDUC3,WWWBLACK,AGE5059M,LIB,STRATA,VPROUD,AGE3039,IDEO3,COMPLET2,DOG4R,W1TRUAM2,CT1A,WWWHOMLN,CD7_A,ADVDEG,CENSDIV,INCA,W2CIVLIB,EDUCAT4,CL7,GT2,AGE1829,PROUD,CL2,AGE6064M,CL5,CL10R,INCOME,CL4A,WWWAGEC1,FIP2,CL6B,P17_A,W1STATE,WWWEDU3,WWWEDU5,MEANFR,CL9,FIP1,W12HISP,CL1,WWWHISP,SEC4,CL8,B1,LOPROU,RAC3,W12RACE4,CD8,WWWAGE,W2SECURE,CD6,WWWRACE4,CLPROP,MNDOG,POLINT,WWWRACE3,NEWRACE,LTHS,V1_B,B2,IWER3,FIPCOM,DOG2R,USAWT2RC,WWWBRNUS,DOG6R,RI2_A,DOG3R,DOG5R,DOG1R,DG2,CL10,DG3,CD5A,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
2027,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-0.25,-1.0,-0.33333333333333326,-1.0,0.75,-1.0,0.29032258064516125,0.0,0.4545454545454546,-0.33333333333333326,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,-0.5,0.0,0.0,-1.0,0.5,-0.1428571428571428,0.8181818181818181,0.0,-0.5,0.3333333333333335,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,0.0,-0.33333333333333326,1.0000000000000004,-0.33333333333333326,-0.2727272727272727,-0.11111111111111116,-0.33333333333333326,0.5,0.5,0.3333333333333335,0,0.0,-1.0,-0.75,0.1428571428571428,1.0,1.0,0.5,-1.0,1.0,-0.75,-0.9999999999999999,0.0,0.5,1.0,-0.7142857142857142,0.33333333333333326,-1.0,1.0,1,0,0,0,1,0,1
1622,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,-1.0,0.3333333333333335,-1.0,-0.75,-1.0,-0.3548387096774195,-1.0,0.8181818181818183,-0.33333333333333326,-0.9999999999999999,0.75,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,0.5,0.5,0.33333333333333326,-1.0,0.5,-0.9999999999999999,0.9636363636363636,0.0,-0.5,-0.8666666666666666,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.09090909090909083,-0.6363636363636362,-0.11111111111111116,-0.9999999999999999,1.0,0.5,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-0.5,-0.9999999999999999,0.0,0.5,1.0,-0.9999999999999999,0.33333333333333326,-1.0,1.0,0,0,1,1,1,1,1
1132,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-0.6,0.3333333333333335,-1.0,-0.75,1.0,-0.3548387096774195,-1.0,-0.2727272727272727,1.0,0.1428571428571428,0.0,-1.0,-1.0,0.1428571428571428,1.0,0.33333333333333326,1.0,0.0,0.0,0.6666666666666667,-1.0,-1.0,-0.1428571428571428,-0.38181818181818183,1.0,1.0,-0.19999999999999973,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.21212121212121238,0.4545454545454546,-0.7777777777777778,-0.9999999999999999,0.13888888888899986,-0.5,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-0.5,-0.8416871776747992,1.0,-0.25,-0.9999999999999999,-0.75,-1.0,-0.5,-0.4285714285714285,0.33333333333333326,-0.5,1.0,0,0,1,1,1,1,1
2800,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.0,1.0,0.29032258064516125,-1.0,0.4545454545454546,1.0,0.1428571428571428,-1.0,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,0.75,0.5,0.33333333333333326,-1.0,0.5,-0.1428571428571428,0.8181818181818181,1.0,1.0,-0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.030303030303030498,-0.2727272727272727,0.5555555555555554,-0.9999999999999999,0.5,-0.4166666666666501,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-0.5,-1.0,1.0,0.0,-0.9999999999999999,-0.75,-1.0,-0.5,-0.4285714285714285,0.33333333333333326,-0.5,1.0,1,0,1,1,1,1,1
1447,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.75,-0.19999999999999996,0.3333333333333335,-1.0,-0.75,-1.0,-0.29032258064516125,0.75,0.09090909090909105,-0.33333333333333326,-0.9999999999999999,-1.0,1.0,1.0,0.1428571428571428,-1.0,0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,0.5,-0.9999999999999999,-0.3090909090909091,0.0,-0.5,0.06666666666666687,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.5,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.9696969696969696,0.09090909090909105,-0.11111111111111116,-0.9999999999999999,0.13888888888899986,-0.25,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,-0.5,0.17028987287015118,1.0,-0.25,-0.9999999999999999,-0.25,-1.0,-0.5,-0.4285714285714285,-1.0,-0.75,1.0,0,0,0,1,1,1,1
1604,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-0.75,-1.0,0.9354838709677418,-1.0,-0.09090909090909083,0.3333333333333335,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.25,-1.0,0.0,-1.0,0.0,-0.9999999999999999,-0.7454545454545455,0.0,0.0,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.2727272727272725,0.2727272727272727,-0.11111111111111116,-0.9999999999999999,-0.25,0.75,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,0.0,0.5,1.0,-0.7142857142857142,-1.0,-1.0,1.0,1,0,1,1,0,1,1
642,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.20000000000000018,0.3333333333333335,-1.0,-0.75,-1.0,-0.935483870967742,-1.0,0.4545454545454546,0.3333333333333335,0.1428571428571428,0.0,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,0.0,0.5,-0.33333333333333326,-1.0,0.5,-0.9999999999999999,0.49090909090909074,0.0,0.0,-0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.5151515151515151,-0.4545454545454545,-0.11111111111111116,-0.9999999999999999,0.13888888888899986,0.75,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-0.12767297721423432,1.0,0.0,-0.9999999999999999,-0.25,0.5,0.5,-0.9999999999999999,0.33333333333333326,-0.75,1.0,0,0,0,1,1,1,1
2712,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,-1.0,-1.0,0.0,1,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-0.25,-1.0,-0.9999999999999999,-1.0,0.75,-1.0,0.29032258064516125,-1.0,-0.09090909090909083,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.75,0.0,0.9999999999999998,0.0,0.0,0.7142857142857144,-0.6363636363636365,0.0,0.0,0.8666666666666667,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-1.0,-0.9999999999999999,0.0,-1.0,0.0,-0.33333333333333326,-0.9999999999999999,0.4242424242424243,0.2727272727272727,-0.11111111111111116,-0.33333333333333326,-0.25,0.3333333333333499,1.0,0,0.0,-1.0,-0.75,0.1428571428571428,1.0,-1.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,-0.25,1.0,-1.0,-0.7142857142857142,0.33333333333333326,-0.75,1.0,0,0,0,0,0,0,0
220,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-0.19999999999999996,-0.9999999999999999,1.0,-0.75,1.0,0.29032258064516125,0.0,-1.0,1.0,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,-0.5,0.0,-0.33333333333333326,-1.0,0.5,-0.1428571428571428,-0.6000000000000001,1.0,1.0,-0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000004,-0.6969696969696968,-1.0,-0.7777777777777778,-0.9999999999999999,0.6944444444444999,-0.3333333333333499,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,0.5,-1.0,1.0,-0.75,-0.9999999999999999,-1.0,0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.25,1.0,0,0,0,0,0,0,0
164,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,-0.9999999999999999,1.0,0.75,-1.0,0.41935483870967727,-1.0,-1.0,1.0,0.1428571428571428,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,1.0,0.0,0.33333333333333326,-1.0,-1.0,0.7142857142857144,0.709090909090909,1.0,0.5,0.3333333333333335,0.1428571428571428,0.1428571428571428,1.0,0.1428571428571428,1,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,-0.9999999999999999,0.09090909090909105,-1.0,-0.7777777777777778,0.3333333333333335,0.41666666666675,-0.08333333333334991,0.3333333333333335,-1,-1.0,-1.0,-0.75,-0.9999999999999999,1.0,0.0,-0.5,-1.0,1.0,-0.75,-0.9999999999999999,-0.25,0.5,0.5,-0.4285714285714285,0.33333333333333326,-0.75,-1.0,0,0,0,0,0,0,0
1256,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.25,-0.19999999999999996,-0.33333333333333326,-1.0,-0.75,-1.0,0.41935483870967727,-1.0,-0.09090909090909083,1.0,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,0.0,0.0,0.33333333333333326,-1.0,-1.0,-0.9999999999999999,0.4181818181818182,1.0,0.5,0.19999999999999996,-0.9999999999999999,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.5999999999999999,-0.09090909090909083,0.2727272727272727,-0.11111111111111116,-0.9999999999999999,-0.13888888888899986,-0.08333333333334991,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,0.5,-0.4560592869647525,1.0,-1.0,-0.9999999999999999,-0.25,-0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.75,1.0,0,0,1,1,1,1,1
2059,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-0.75,-1.0,-0.9999999999999999,-1.0,0.75,-1.0,-0.29032258064516125,-1.0,0.4545454545454546,-0.33333333333333326,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,0.5,0.5,0.0,0.0,0.5,0.7142857142857144,0.018181818181818077,0.0,-0.5,0.19999999999999996,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,0.0,-1.0,0.0,-0.33333333333333326,1.0000000000000004,-0.3939393939393938,-0.2727272727272727,0.5555555555555554,-0.33333333333333326,0.5,0.4166666666666501,0.3333333333333335,0,0.0,-1.0,-0.75,0.1428571428571428,1.0,-1.0,1.0,-1.0,1.0,0.0,-0.9999999999999999,0.0,-1.0,1.0,-0.9999999999999999,0.33333333333333326,-1.0,1.0,0,0,0,0,1,0,1
1111,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.1428571428571428,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,0.75,0.0,-0.33333333333333326,-1.0,0.5,-0.1428571428571428,-0.20000000000000007,1.0,0.5,-0.33333333333333326,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,1.0,1.0,-0.9999999999999999,-0.45454545454545436,-1.0,-1.0,1.0,0.6944444444444999,0.25,0.3333333333333335,1,1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,-0.5,-1.0,1.0,0.0,-0.9999999999999999,0.0,0.5,0.5,-0.4285714285714285,0.33333333333333326,-1.0,1.0,0,0,0,0,0,0,0
1073,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,0.75,-1.0,-0.29032258064516125,0.0,0.09090909090909105,-0.33333333333333326,-0.9999999999999999,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,-1.0,-1.0,0.9999999999999998,0.0,-1.0,-0.9999999999999999,0.09090909090909083,0.0,-0.5,-0.06666666666666665,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.5999999999999999,0.4545454545454546,0.09090909090909105,-0.11111111111111116,-0.9999999999999999,0.6944444444444999,-0.3333333333333499,1.0,-1,-1.0,-1.0,-0.75,-0.9999999999999999,1.0,-1.0,-1.0,-0.7199859004017359,1.0,0.0,-0.9999999999999999,-0.75,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.5,1.0,0,0,1,1,1,1,0
1870,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-0.75,-1.0,-0.33333333333333326,-1.0,-0.75,1.0,-0.935483870967742,-1.0,-0.09090909090909083,1.0,0.1428571428571428,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,0.75,0.0,-0.33333333333333326,-1.0,-1.0,-0.1428571428571428,0.49090909090909074,1.0,1.0,0.06666666666666687,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.5757575757575757,0.2727272727272727,-0.11111111111111116,-0.9999999999999999,-0.25,0.0,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,-0.25,-0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.75,1.0,0,0,1,1,0,1,0
593,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,0.20000000000000018,1.0,-1.0,-0.75,-1.0,0.29032258064516125,-1.0,0.4545454545454546,1.0,-0.9999999999999999,0.0,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,0.75,0.5,0.0,-1.0,0.5,-0.9999999999999999,-0.5636363636363637,1.0,0.5,-0.06666666666666665,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,1.0,1.0,-0.9999999999999999,-0.303030303030303,-0.2727272727272727,-0.11111111111111116,1.0,0.41666666666675,-0.4166666666666501,-0.33333333333333326,1,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-0.6247329578714569,1.0,-0.25,-0.9999999999999999,-1.0,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.25,1.0,1,0,0,0,1,0,1
1345,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,0.3333333333333335,-1.0,0.75,-1.0,0.9999999999999998,-1.0,0.2727272727272727,0.3333333333333335,0.1428571428571428,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.5,0.5,-0.6666666666666666,-1.0,0.5,0.7142857142857144,-0.9636363636363636,0.0,0.0,0.06666666666666687,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-1.0,0.1428571428571428,-1.0,-1.0,0.0,-0.33333333333333326,0.6000000000000001,-0.8181818181818181,-0.09090909090909083,-0.11111111111111116,-0.33333333333333326,0.13888888888899986,0.5,-0.33333333333333326,0,0.0,-1.0,0.75,-0.9999999999999999,1.0,0.0,1.0,0.13175665160322048,-1.0,-0.25,-0.9999999999999999,0.0,0.5,1.0,-0.9999999999999999,0.33333333333333326,-1.0,1.0,0,0,0,0,0,0,0
808,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,0.0,-1.0,-0.3548387096774195,-1.0,0.2727272727272727,0.3333333333333335,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.75,0.5,0.33333333333333326,0.0,0.5,-0.9999999999999999,-0.09090909090909094,0.0,0.0,-0.7333333333333333,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.030303030303030276,-0.2727272727272727,-0.7777777777777778,-0.9999999999999999,-0.13888888888899986,-0.4166666666666501,0.3333333333333335,-1,-1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-0.5,-0.24489467562289724,1.0,-0.75,-0.9999999999999999,-0.5,-1.0,0.5,-0.4285714285714285,0.33333333333333326,0.75,1.0,1,0,1,1,1,1,1
2044,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,0.0,-1.0,-1.0,0.0,1,-1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,-0.75,-1.0,-0.9999999999999999,-1.0,0.0,-1.0,-0.3548387096774195,-1.0,0.8181818181818183,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,0.25,0.0,-0.33333333333333326,-1.0,0.5,-0.1428571428571428,-0.09090909090909094,0.0,0.0,0.7333333333333334,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-1.0,0.1428571428571428,0.0,-1.0,0.0,-0.33333333333333326,-0.9999999999999999,-0.4242424242424241,-0.6363636363636362,-1.0,-0.33333333333333326,1.0,0.08333333333334991,0.3333333333333335,0,0.0,-1.0,-0.25,0.1428571428571428,1.0,0.0,0.5,-1.0,1.0,0.0,-0.9999999999999999,-0.25,-0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.75,1.0,0,0,0,0,0,0,0
1411,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,0.0,-1,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-0.33333333333333326,1.0,0.75,-1.0,-0.3548387096774195,-1.0,0.09090909090909105,0.3333333333333335,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,-1.0,0.0,0.0,0.0,-1.0,0.5,-0.1428571428571428,0.38181818181818183,0.0,0.0,0.06666666666666687,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000004,-0.21212121212121193,0.09090909090909105,-0.7777777777777778,-0.9999999999999999,-0.13888888888899986,0.4166666666666501,0.3333333333333335,-1,-1.0,-1.0,-0.75,-0.9999999999999999,1.0,0.0,1.0,-0.23639876540447702,1.0,-0.75,-0.9999999999999999,0.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1,0,0,1,1,1,1
1510,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.75,-1.0,0.9354838709677418,-1.0,0.6363636363636365,1.0,-0.9999999999999999,-1.0,1.0,1.0,0.1428571428571428,-1.0,-1.0,1.0,-0.25,-1.0,-0.6666666666666666,-1.0,0.5,0.7142857142857144,0.05454545454545445,1.0,0.5,-0.5999999999999999,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.7878787878787877,-0.4545454545454545,-0.11111111111111116,-0.9999999999999999,0.75,-0.4166666666666501,0.3333333333333335,-1,-1.0,-1.0,-0.5,0.1428571428571428,-1.0,1.0,0.5,-1.0,1.0,-0.75,-0.9999999999999999,-0.75,-0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.5,1.0,0,0,1,1,1,1,1
1655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,-1.0,1.0,-1.0,-0.75,-1.0,-0.3548387096774195,0.0,-0.2727272727272727,0.3333333333333335,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.5,0.5,0.9999999999999998,-1.0,0.0,-0.9999999999999999,-0.4181818181818182,0.0,0.0,-0.5999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.6060606060606064,0.4545454545454546,-0.33333333333333337,-0.9999999999999999,-0.5,-0.25,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,-0.25,-0.9999999999999999,-1.0,-0.5,1.0,-0.1428571428571428,0.33333333333333326,-0.25,1.0,1,0,1,1,0,1,0
